account_id,value_group,account_value,event_month,offer_live,months_since_launch,tenure_months,product_count,churned_within_window,true_effect_prob
D000000,low,1173.61,20,0,,23.1,1,0,0.0
D000001,low,2928.77,18,0,,70.4,5,0,0.0
D000002,low,2257.99,4,0,,32.1,6,0,0.0
D000003,low,4839.67,21,0,,76.7,2,0,0.0
D000004,low,3149.87,18,0,,87.8,1,0,0.0
D000005,high,8431.51,18,1,6.0,16.2,2,0,-0.092414
D000006,low,702.98,1,0,,17.3,4,0,0.0
D000007,low,2322.91,8,0,,87.5,2,0,0.0
D000008,high,8649.45,9,0,,53.3,2,0,0.0
D000009,low,4902.18,21,0,,99.2,4,0,0.0
D000010,low,2143.85,17,0,,72.1,2,0,0.0
D000011,high,7867.33,11,0,,20.5,3,0,0.0
D000012,high,13088.29,0,0,,62.1,2,0,0.0
D000013,high,10806.66,1,0,,5.7,5,0,0.0
D000014,high,29665.12,1,0,,65.3,2,0,0.0
D000015,high,6485.14,6,0,,76.1,1,0,0.0
D000016,high,11335.32,8,0,,79.3,3,0,0.0
D000017,low,3035.5,12,0,,23.1,1,0,0.0
D000018,low,2715.15,22,0,,102.4,1,1,0.0
D000019,low,2273.36,14,0,,57.3,4,0,0.0
D000020,high,12463.88,11,0,,62.1,2,0,0.0
D000021,low,1209.83,15,0,,32.1,1,1,0.0
D000022,high,13257.82,21,1,9.0,84.9,1,0,-0.050134
D000023,high,7701.32,15,1,3.0,34.5,6,0,-0.077134
D000024,low,4887.52,22,0,,37.6,3,0,0.0
D000025,low,4528.15,21,0,,58.9,2,0,0.0
D000026,high,8807.48,4,0,,124.3,2,0,0.0
D000027,high,9767.02,22,1,10.0,15.6,4,0,-0.063573
D000028,low,1299.74,4,0,,70.2,2,1,0.0
D000029,high,10601.85,5,0,,11.2,1,0,0.0
D000030,high,27628.32,21,1,9.0,119.6,2,0,-0.043642
D000031,high,11245.23,9,0,,79.7,3,0,0.0
D000032,low,950.54,19,0,,77.7,1,1,0.0
D000033,low,4504.0,15,0,,30.9,1,0,0.0
D000034,high,13979.77,5,0,,25.1,3,0,0.0
D000035,low,3283.13,6,0,,55.7,2,0,0.0
D000036,high,10831.2,22,1,10.0,14.2,1,0,-0.10681
D000037,low,4221.25,15,0,,26.2,5,1,0.0
D000038,low,1262.61,19,0,,26.6,3,1,0.0
D000039,high,14195.1,7,0,,167.0,1,0,0.0
D000040,high,5184.35,2,0,,55.2,1,0,0.0
D000041,high,29409.98,10,0,,39.3,5,0,0.0
D000042,low,4918.1,16,0,,22.9,1,0,0.0
D000043,high,9267.21,16,1,4.0,47.8,1,0,-0.036251
D000044,high,9938.17,2,0,,88.8,5,0,0.0
D000045,high,5411.6,1,0,,124.4,4,0,0.0
D000046,low,3331.76,2,0,,23.6,1,1,0.0
D000047,high,28137.49,5,0,,127.2,1,0,0.0
D000048,low,2647.8,14,0,,125.2,1,0,0.0
D000049,low,1173.07,9,0,,46.1,2,0,0.0
D000050,low,3917.95,13,0,,66.3,3,0,0.0
D000051,low,4278.61,10,0,,12.4,1,0,0.0
D000052,low,4509.17,18,0,,16.8,1,0,0.0
D000053,low,565.31,0,0,,67.2,3,0,0.0
D000054,high,7278.5,10,0,,36.8,1,0,0.0
D000055,high,5920.03,14,1,2.0,43.8,4,0,-0.045985
D000056,high,53597.52,7,0,,91.4,5,0,0.0
D000057,low,2326.7,17,0,,133.5,5,0,0.0
D000058,low,1862.24,23,0,,62.2,2,1,0.0
D000059,low,2241.15,15,0,,51.4,2,0,0.0
D000060,low,1928.83,14,0,,9.6,3,0,0.0
D000061,low,4628.4,22,0,,76.0,1,0,0.0
D000062,high,22540.95,2,0,,112.0,3,1,0.0
D000063,low,1266.62,9,0,,155.2,3,0,0.0
D000064,low,570.22,21,0,,29.5,6,0,0.0
D000065,high,16047.63,0,0,,37.2,4,0,0.0
D000066,high,15641.94,0,0,,45.6,4,1,0.0
D000067,high,9528.13,21,1,9.0,70.1,2,0,-0.049943
D000068,low,2688.27,8,0,,81.4,1,0,0.0
D000069,low,1066.89,6,0,,67.5,3,0,0.0
D000070,low,2227.11,4,0,,89.6,1,0,0.0
D000071,high,27978.2,5,0,,47.0,6,0,0.0
D000072,high,7277.68,3,0,,106.0,1,0,0.0
D000073,low,1150.53,12,0,,219.7,5,0,0.0
D000074,low,1308.42,1,0,,43.6,1,0,0.0
D000075,high,6001.14,3,0,,47.9,4,0,0.0
D000076,high,5503.51,3,0,,84.7,4,0,0.0
D000077,low,1520.17,19,0,,51.4,2,0,0.0
D000078,low,3379.5,19,0,,69.7,5,0,0.0
D000079,high,25183.18,15,1,3.0,117.3,3,0,-0.057616
D000080,high,142050.86,19,1,7.0,25.7,3,0,-0.058047
D000081,high,14643.62,23,1,11.0,195.3,3,0,-0.013788
D000082,low,3944.48,0,0,,72.1,1,0,0.0
D000083,high,7916.74,10,0,,18.5,1,0,0.0
D000084,low,1484.66,6,0,,38.3,1,0,0.0
