account_id,value_group,account_value,engagement_score,dormancy_streak_months,flagged,product_count,tenure_months,balance,offer_type,treated,bad_outcome,true_effect_prob
M000000,low,1222.01,65.6,3,1,6,36.5,643.16,sms,1,1,-0.0826
M000001,low,1342.34,6.2,0,0,3,27.1,925.75,sms,1,0,-0.046086
M000002,high,10125.71,48.2,1,0,6,71.3,5329.32,cashback,1,0,-0.06843
M000003,high,4505.51,38.6,2,0,1,50.8,3917.83,cashback,1,0,-0.144506
M000004,high,6503.04,62.0,1,0,2,95.9,5002.34,cashback,1,0,-0.0694
M000005,high,12460.67,62.5,1,0,6,37.1,6558.25,cashback,1,0,-0.077148
M000006,high,8343.71,66.6,1,0,1,43.9,7255.4,cashback,1,0,-0.036996
M000007,high,7756.18,24.1,1,1,2,34.1,5966.29,cashback,1,0,-0.185257
M000008,low,959.95,48.3,0,0,1,93.7,834.74,sms,1,0,-0.063263
M000009,high,11000.96,72.9,2,0,1,46.4,9566.05,cashback,1,1,-0.065816
M000010,low,1306.38,64.3,2,0,2,28.6,1004.91,sms,1,0,-0.05592
M000011,low,667.19,42.5,0,0,2,203.9,513.23,sms,1,0,-0.033409
M000012,low,788.94,27.0,2,0,2,60.0,606.87,sms,1,0,-0.037399
M000013,high,8347.45,57.2,1,0,3,8.0,5756.86,cashback,1,0,-0.069238
M000014,high,5268.67,85.8,1,0,1,45.6,4581.45,cashback,1,1,-0.130261
M000015,high,11817.67,47.2,0,0,5,51.1,6752.95,cashback,1,0,-0.052603
M000016,high,58536.58,28.1,4,1,3,69.4,40370.05,cashback,1,1,-0.182002
M000017,high,13180.34,0.0,0,0,1,129.4,11461.16,cashback,1,0,-0.061683
M000018,high,14775.63,6.3,4,1,2,101.7,11365.87,cashback,1,1,-0.181852
M000019,low,1626.08,49.3,1,0,4,59.8,1016.3,sms,1,0,-0.045015
M000020,low,790.21,48.4,2,0,3,47.4,544.98,sms,1,0,-0.039189
M000021,high,10018.31,53.2,3,1,4,27.2,6261.44,cashback,1,1,-0.184076
M000022,low,1926.05,29.5,2,0,1,26.6,1674.82,sms,1,0,-0.060813
M000023,high,6828.82,54.2,2,0,3,68.4,4709.53,none,0,1,0.0
M000024,high,19185.24,70.7,1,0,3,25.2,13231.2,cashback,1,0,-0.080365
M000025,low,3013.36,24.2,0,0,2,30.2,2317.97,sms,1,0,-0.067302
M000026,high,12395.72,54.2,3,1,3,112.3,8548.78,cashback,1,0,-0.173754
M000027,high,9596.24,39.2,3,1,1,44.5,8344.55,cashback,1,0,-0.164282
M000028,high,7126.08,44.4,3,1,3,39.0,4914.54,cashback,1,1,-0.185153
M000029,low,840.2,33.7,0,0,2,61.0,646.31,sms,1,0,-0.050822
M000030,low,1400.53,59.7,1,0,2,56.0,1077.33,none,0,0,0.0
M000031,low,3479.47,20.4,3,1,2,184.5,2676.51,sms,1,0,-0.085337
M000032,low,2359.07,75.9,1,0,3,208.4,1626.95,none,0,0,0.0
M000033,low,3595.25,54.2,5,1,4,25.8,2247.03,sms,1,0,-0.086997
M000034,high,8611.36,36.3,0,0,1,24.3,7488.14,cashback,1,0,-0.081569
M000035,low,2262.64,55.1,2,0,1,62.8,1967.52,sms,1,0,-0.060715
M000036,low,3799.01,49.9,1,0,2,40.0,2922.32,sms,1,0,-0.040734
M000037,high,6627.99,73.9,2,0,3,126.7,4571.03,none,0,0,0.0
M000038,low,1016.86,44.8,3,1,6,49.1,535.19,sms,1,0,-0.085032
M000039,high,6967.23,38.4,2,0,1,183.3,6058.46,cashback,1,0,-0.047157
M000040,low,3890.32,40.0,3,1,3,87.1,2682.98,none,0,0,0.0
M000041,low,3015.04,41.8,1,0,2,53.8,2319.27,sms,1,0,-0.046445
M000042,high,6434.23,47.0,2,0,3,16.0,4437.4,cashback,1,0,-0.112524
M000043,high,37169.7,51.9,4,1,2,125.5,28592.07,cashback,1,0,-0.184915
M000044,low,2877.27,29.0,2,0,2,97.1,2213.29,sms,1,1,-0.048226
M000045,low,2676.33,69.1,2,0,2,66.2,2058.72,none,0,1,0.0
M000046,low,3794.59,62.7,0,0,2,32.6,2918.92,sms,1,0,-0.052337
M000047,high,5745.5,23.3,2,1,2,51.0,4419.62,cashback,1,0,-0.182542
M000048,high,20840.31,44.5,1,0,3,107.1,14372.63,cashback,1,0,-0.073459
M000049,low,3454.09,38.8,1,0,2,42.1,2656.99,sms,1,0,-0.040139
M000050,low,1297.02,60.0,1,0,2,37.3,997.71,sms,1,0,-0.048449
M000051,low,3384.76,46.8,2,0,3,39.6,2334.32,sms,1,0,-0.038619
M000052,low,2137.86,21.7,4,1,2,49.5,1644.51,sms,1,1,-0.087232
M000053,high,14415.76,1.9,0,0,1,56.3,12535.45,cashback,1,0,-0.097275
M000054,high,5753.48,32.6,0,0,4,121.2,3595.93,cashback,1,0,-0.069402
M000055,low,3664.0,71.6,1,0,1,53.4,3186.09,sms,1,0,-0.034027
M000056,low,1627.0,62.7,0,0,1,94.2,1414.79,sms,1,0,-0.052408
M000057,high,6142.0,28.5,3,1,2,44.2,4724.62,cashback,1,0,-0.185311
M000058,high,14830.54,51.3,2,0,3,20.9,10227.96,cashback,1,0,-0.057463
M000059,high,6970.82,51.3,2,0,2,31.5,5362.17,cashback,1,0,-0.056286
M000060,high,8764.5,45.0,0,0,1,56.4,7621.3,none,0,0,0.0
M000061,low,1806.89,27.3,1,0,3,115.7,1246.13,sms,1,1,-0.035582
M000062,high,8010.95,68.3,2,0,3,181.8,5524.8,cashback,1,0,-0.050199
M000063,low,525.48,16.6,1,1,1,68.4,456.94,sms,1,1,-0.075338
M000064,low,984.6,15.7,1,1,1,38.1,856.17,sms,1,0,-0.083157
M000065,low,3868.28,51.9,0,0,2,70.2,2975.6,none,0,0,0.0
M000066,low,2355.62,0.0,1,1,1,63.7,2048.37,sms,1,0,-0.086582
M000067,high,15889.92,22.3,1,1,5,37.4,9079.96,cashback,1,0,-0.169819
M000068,low,3673.31,18.6,0,0,1,4.4,3194.18,none,0,0,0.0
M000069,high,8613.22,82.8,2,0,2,40.4,6625.55,cashback,1,0,-0.090088
M000070,high,6687.94,66.2,0,0,1,32.9,5815.6,none,0,0,0.0
M000071,low,1565.1,75.4,1,0,4,125.3,978.19,sms,1,0,-0.041113
M000072,high,9331.17,70.0,1,0,2,20.9,7177.82,cashback,1,1,-0.092625
M000073,high,7205.28,61.0,2,0,5,47.2,4117.3,cashback,1,0,-0.111968
M000074,low,935.65,36.2,0,0,1,44.3,813.61,sms,1,0,-0.065566
M000075,high,8133.03,57.7,1,0,2,144.2,6256.18,cashback,1,0,-0.060336
M000076,high,7500.55,36.0,2,0,3,156.8,5172.79,cashback,1,0,-0.041814
M000077,high,8090.25,50.9,1,0,3,15.2,5579.49,cashback,1,0,-0.070882
M000078,low,2127.88,73.6,3,1,1,66.0,1850.33,none,0,0,0.0
M000079,low,2196.84,37.2,1,0,3,15.4,1515.06,sms,1,0,-0.062216
M000080,low,4072.74,46.2,2,0,2,62.0,3132.87,sms,1,0,-0.070109
M000081,high,12477.26,0.9,1,1,1,73.4,10849.79,cashback,1,0,-0.185287
M000082,low,1191.15,37.6,4,1,1,195.7,1035.78,sms,1,1,-0.083593
M000083,high,13489.08,40.1,2,0,3,72.8,9302.81,cashback,1,0,-0.094457
M000084,high,7437.03,61.4,3,1,2,38.5,5720.79,cashback,1,1,-0.151938
M000085,low,755.14,60.0,3,1,1,80.1,656.64,sms,1,0,-0.087095
M000086,high,13775.64,34.9,1,0,1,107.9,11978.82,cashback,1,0,-0.099686
M000087,high,4292.79,50.4,0,0,2,88.4,3302.15,cashback,1,0,-0.058335
M000088,low,602.24,28.9,1,0,1,94.0,523.69,sms,1,0,-0.037431
M000089,low,2777.35,77.1,4,1,1,79.7,2415.08,sms,1,1,-0.087011
M000090,low,2233.02,26.5,2,0,2,50.6,1717.71,sms,1,0,-0.051832
M000091,high,6979.34,48.6,3,1,1,103.1,6068.99,cashback,1,0,-0.184132
M000092,low,3356.03,45.9,2,0,5,42.4,1917.73,sms,1,1,-0.052105
M000093,low,861.5,54.2,1,0,5,95.4,492.29,sms,1,1,-0.045553
M000094,low,3151.87,76.6,1,0,2,55.8,2424.52,sms,1,0,-0.041162
M000095,high,8626.66,56.6,2,0,3,106.2,5949.42,cashback,1,0,-0.043945
M000096,low,2759.99,40.0,3,1,3,54.9,1903.44,sms,1,0,-0.085624
