account_id,region_id,tenure_months,product_count,balance,balance_tier,liquidity_need_score,dd_stability_score,engagement_score,dormancy_streak_months,value_score,value_group,churn_mode
A000000,R09,64.8,5,2731.89,1,61.1,65.2,65.5,0,4780.82,low,none
A000001,R06,86.6,3,2037.38,1,88.0,3.6,30.1,0,2954.2,low,none
A000002,R08,57.3,1,1250.31,0,71.7,60.1,76.9,1,1437.86,low,none
A000003,R01,51.6,1,9144.29,3,35.5,37.5,11.0,2,10515.93,high,none
A000004,R06,93.6,4,2550.25,1,37.3,38.6,82.0,1,4080.4,low,none
A000005,R01,54.8,1,5263.62,3,43.8,89.2,62.8,1,6053.16,high,none
A000006,R09,72.3,3,1028.49,0,73.3,38.0,82.2,0,1491.3,low,dormant
A000007,R06,67.7,5,4481.21,2,75.2,45.0,43.0,0,7842.12,high,none
A000008,R06,93.6,3,10410.49,4,66.2,12.4,64.5,0,15095.21,high,none
A000009,R08,45.5,1,32527.93,4,52.1,42.5,28.3,0,37407.12,high,none
A000010,R07,114.4,5,791.18,0,56.1,37.7,60.4,0,1384.57,low,none
A000011,R00,37.5,2,5043.9,3,63.2,92.7,84.2,0,6557.07,high,none
A000012,R01,75.4,1,763.9,0,56.1,89.7,19.6,0,878.49,low,none
A000013,R02,69.7,2,937.9,0,22.4,33.9,39.3,0,1219.27,low,none
A000014,R03,35.0,4,4946.39,3,70.0,81.7,39.9,2,7914.23,high,none
A000015,R02,79.5,3,5692.31,3,65.9,51.9,48.5,1,8253.85,high,none
A000016,R02,48.0,3,8400.95,3,49.0,33.2,48.5,0,12181.38,high,none
A000017,R00,26.6,1,3127.31,2,68.4,44.7,7.1,0,3596.41,low,none
A000018,R01,86.2,2,13447.79,4,52.3,34.3,37.7,0,17482.13,high,none
A000019,R07,19.0,3,8369.28,3,52.9,26.2,45.8,1,12135.46,high,none
A000020,R07,30.7,1,3349.44,2,90.2,48.2,16.7,0,3851.86,low,none
A000021,R03,56.9,6,7995.72,3,52.7,51.1,65.7,0,15191.86,high,none
A000022,R03,93.2,1,2460.13,1,61.7,43.9,36.8,0,2829.14,low,none
A000023,R00,82.8,1,12041.13,4,48.4,76.2,55.7,0,13847.29,high,none
A000024,R02,64.1,1,4844.07,3,21.7,36.7,66.9,0,5570.68,high,none
A000025,R01,14.0,1,2769.21,2,52.6,52.8,48.9,2,3184.6,low,none
A000026,R09,36.3,2,1652.86,1,43.6,82.4,46.0,0,2148.72,low,none
A000027,R01,42.4,2,2867.02,2,30.4,50.8,40.6,1,3727.12,low,none
A000028,R00,25.6,4,5155.69,3,22.8,40.7,41.7,0,8249.1,high,none
A000029,R05,10.7,2,3642.87,2,53.6,94.9,47.0,1,4735.73,low,none
A000030,R03,58.7,1,7989.3,3,44.0,67.4,51.8,1,9187.69,high,none
A000031,R09,84.5,1,2561.21,1,33.1,25.7,45.5,0,2945.39,low,none
A000032,R06,40.0,1,6599.79,3,72.5,42.1,21.6,0,7589.76,high,none
A000033,R01,92.4,1,268.73,0,52.3,61.2,84.5,0,309.04,low,none
A000034,R04,17.1,2,2696.96,1,61.0,27.5,35.9,0,3506.05,low,none
A000035,R01,24.4,1,2505.48,1,78.0,68.3,46.0,0,2881.31,low,none
A000036,R05,57.9,1,404.38,0,76.0,57.2,33.7,0,465.04,low,none
A000037,R04,37.6,5,10668.19,4,63.2,66.9,80.1,0,18669.33,high,none
A000038,R08,80.0,1,3509.8,2,86.3,43.8,69.5,0,4036.27,low,none
A000039,R09,71.8,3,6169.03,3,84.3,37.8,67.4,3,8945.1,high,none
A000040,R03,39.6,1,2334.98,1,51.3,42.1,38.1,0,2685.23,low,none
A000041,R07,18.6,3,8841.4,3,10.5,42.0,72.2,0,12820.02,high,none
A000042,R03,36.3,1,4028.54,2,48.6,60.2,73.1,0,4632.82,low,large_withdrawal
A000043,R04,72.9,1,7235.42,3,55.1,34.2,17.5,0,8320.74,high,none
A000044,R03,82.1,2,4293.62,2,80.0,8.2,52.3,0,5581.71,high,none
A000045,R09,37.7,3,6174.72,3,65.4,14.4,38.1,2,8953.35,high,none
A000046,R08,10.6,6,4080.25,2,47.7,76.6,0.0,0,7752.47,high,none
A000047,R05,16.2,2,5578.72,3,44.9,58.7,21.2,0,7252.34,high,none
A000048,R04,69.1,3,3960.17,2,65.4,13.5,43.3,2,5742.25,high,none
A000049,R06,39.1,3,656.21,0,43.4,65.4,65.4,0,951.5,low,none
A000050,R07,39.8,5,735.39,0,90.6,53.3,65.7,0,1286.94,low,none
A000051,R03,24.1,3,2084.32,1,71.8,44.2,30.8,0,3022.27,low,none
A000052,R01,23.7,1,12209.32,4,13.7,91.2,9.3,2,14040.72,high,dormant
A000053,R07,91.5,3,3614.77,2,15.8,39.9,67.6,0,5241.41,high,none
A000054,R07,70.7,4,836.65,0,50.9,69.7,48.5,0,1338.64,low,large_withdrawal
A000055,R09,32.7,4,2639.13,1,33.4,95.6,64.5,0,4222.6,low,none
A000056,R07,55.1,4,2254.87,1,17.8,50.2,35.2,1,3607.8,low,none
A000057,R07,61.7,1,2849.55,2,90.5,49.3,18.9,0,3276.98,low,large_withdrawal
A000058,R07,140.6,2,8092.78,3,45.7,42.2,12.8,1,10520.62,high,none
A000059,R03,22.1,2,6429.19,3,53.0,48.4,44.7,1,8357.95,high,none
A000060,R05,61.1,6,11346.47,4,57.1,30.8,30.2,0,21558.29,high,none
A000061,R00,91.2,1,2755.62,1,78.8,44.5,63.7,0,3168.96,low,none
A000062,R00,130.6,2,5557.71,3,36.6,43.6,45.0,0,7225.02,high,none
A000063,R01,31.4,3,10760.32,4,64.9,63.0,81.3,0,15602.46,high,none
A000064,R04,38.7,1,3366.6,2,19.6,45.0,48.9,0,3871.58,low,none
A000065,R03,80.5,5,412.2,0,30.2,47.7,55.2,0,721.36,low,none
A000066,R06,13.8,3,2539.36,1,47.2,60.0,56.8,0,3682.08,low,none
A000067,R08,65.2,1,24769.67,4,38.7,59.3,33.1,0,28485.12,high,none
A000068,R03,171.9,3,5078.32,3,48.0,47.2,57.0,1,7363.56,high,none
A000069,R08,69.8,3,3869.66,2,77.6,8.5,17.7,1,5611.01,high,none
A000070,R01,5.8,1,1872.01,1,36.5,84.8,18.7,2,2152.81,low,none
A000071,R09,26.9,5,2107.35,1,41.2,70.4,47.2,1,3687.87,low,dd_stop
A000072,R07,32.2,2,4216.31,2,32.5,68.8,30.8,2,5481.2,high,none
A000073,R00,104.6,2,8903.94,3,25.3,51.4,51.0,0,11575.13,high,none
A000074,R08,46.4,3,735.28,0,40.5,71.8,39.6,0,1066.15,low,none
A000075,R05,10.8,1,1155.19,0,43.8,73.2,47.0,3,1328.47,low,none
A000076,R05,50.2,3,5091.05,3,47.0,36.0,41.7,0,7382.02,high,none
A000077,R05,57.4,2,3974.7,2,51.8,44.4,54.5,0,5167.12,high,large_withdrawal
A000078,R02,35.4,4,465.76,0,64.7,53.2,99.4,0,745.21,low,none
A000079,R09,23.4,5,2350.4,1,36.2,54.0,31.5,1,4113.21,low,none
A000080,R00,183.3,4,15249.43,4,91.3,33.6,64.7,0,24399.09,high,large_withdrawal
A000081,R03,91.4,1,3471.77,2,56.1,38.7,43.2,0,3992.54,low,large_withdrawal
A000082,R05,96.6,2,1379.76,0,71.8,66.5,39.7,0,1793.69,low,none
A000083,R08,46.5,5,3053.55,2,93.2,6.1,46.5,0,5343.71,high,none
A000084,R03,31.0,2,14836.56,4,49.3,43.2,83.4,0,19287.53,high,none
A000085,R09,36.7,2,6490.46,3,50.6,52.3,30.3,0,8437.59,high,none
A000086,R07,17.0,1,1605.88,1,39.1,42.6,69.6,0,1846.76,low,none
A000087,R05,138.9,1,6256.98,3,66.2,51.0,48.5,0,7195.52,high,none
A000088,R08,47.9,1,2494.25,1,56.9,39.3,59.0,1,2868.38,low,none
