account_id,withdrawal_pct,treated_rm_contact,tenure_months,product_count,balance,account_value,churn_within_60d
W000000,56.39,1,48.5,4,32636.63,52218.61,0
W000001,12.12,0,123.2,2,2557.03,3324.14,0
W000002,2.51,0,44.1,4,4585.82,7337.31,0
W000003,39.11,1,59.2,5,19192.27,33586.47,0
W000004,0.0,0,115.8,4,6542.61,10468.17,0
W000005,11.85,0,54.3,1,5708.16,6564.39,0
W000006,0.0,0,54.5,1,14900.21,17135.25,0
W000007,11.76,0,36.3,4,3834.91,6135.85,0
W000008,44.24,1,194.7,2,4437.32,5768.52,0
W000009,18.97,0,198.3,3,6644.28,9634.21,0
W000010,25.87,0,29.1,4,12221.6,19554.56,0
W000011,30.6,1,32.4,2,11426.37,14854.28,0
W000012,43.11,1,63.7,5,29092.38,50911.66,0
W000013,35.08,1,58.4,1,22343.22,25694.7,0
W000014,0.0,0,51.2,1,32283.31,37125.81,0
W000015,30.77,1,13.2,5,4216.4,7378.69,0
W000016,30.13,1,27.2,3,3516.3,5098.64,0
W000017,0.05,0,121.6,2,2029.55,2638.42,0
W000018,13.31,0,21.6,2,4017.83,5223.18,0
W000019,41.13,1,23.7,2,7231.38,9400.79,0
W000020,35.95,1,80.6,6,6772.69,12868.12,0
W000021,24.3,0,162.2,3,42844.93,62125.15,0
W000022,0.0,0,74.2,3,11017.86,15975.9,0
W000023,0.0,0,43.9,1,26270.82,30211.44,0
W000024,3.56,0,252.0,2,3798.85,4938.5,0
W000025,7.55,0,62.5,3,3775.41,5474.35,0
W000026,0.0,0,29.7,6,6985.26,13272.0,1
W000027,0.0,0,16.4,1,4656.42,5354.88,0
W000028,47.38,1,29.5,3,4106.62,5954.6,0
W000029,12.8,0,78.3,4,610.19,976.3,0
W000030,30.93,1,15.2,2,2636.71,3427.73,0
W000031,41.29,1,23.3,4,7957.73,12732.37,1
W000032,31.5,1,19.6,4,15668.07,25068.92,0
W000033,0.0,0,48.8,2,3302.11,4292.74,0
W000034,19.45,0,6.5,2,26043.14,33856.08,0
W000035,28.05,0,93.0,2,28587.74,37164.06,0
W000036,14.48,0,58.4,1,3849.06,4426.41,0
W000037,44.18,1,49.9,5,3532.03,6181.05,0
W000038,72.73,1,56.3,2,2908.39,3780.91,0
W000039,55.14,1,68.3,1,14767.33,16982.43,0
W000040,6.96,0,25.4,2,26474.86,34417.31,0
W000041,45.93,1,59.8,2,23830.04,30979.06,0
W000042,18.66,0,96.2,3,21813.93,31630.2,0
W000043,0.0,0,138.5,2,6146.65,7990.64,0
W000044,29.23,0,33.7,3,14721.1,21345.59,1
W000045,38.74,1,174.9,4,4462.39,7139.82,0
W000046,51.15,1,47.2,3,1845.87,2676.51,0
W000047,61.88,1,68.0,1,14879.74,17111.71,0
W000048,36.03,1,91.4,6,7494.52,14239.59,0
W000049,28.17,0,153.4,2,12266.63,15946.62,1
W000050,51.58,1,44.9,3,2774.08,4022.42,0
W000051,35.14,1,190.5,1,4884.65,5617.35,0
W000052,26.66,0,33.6,2,1700.23,2210.3,0
W000053,10.02,0,103.6,1,3510.63,4037.22,0
W000054,31.78,1,42.1,2,10160.54,13208.7,0
W000055,51.2,1,71.1,1,10982.17,12629.5,1
W000056,25.92,0,56.4,5,8062.25,14108.93,0
W000057,0.0,0,2.3,4,6719.35,10750.96,0
W000058,18.91,0,112.3,1,10581.48,12168.7,0
W000059,26.94,0,17.5,2,14319.4,18615.22,0
W000060,40.38,1,110.1,1,12668.8,14569.12,0
W000061,43.07,1,99.8,3,7179.61,10410.44,0
W000062,0.0,0,3.2,3,55771.42,80868.56,0
W000063,41.15,1,26.5,1,23329.49,26828.92,0
W000064,12.86,0,27.2,3,9120.68,13224.99,0
W000065,3.46,0,96.9,2,16702.56,21713.32,0
W000066,25.59,0,78.6,4,8869.15,14190.65,0
W000067,28.13,0,47.2,2,2170.82,2822.06,1
W000068,11.63,0,137.9,3,11554.41,16753.9,0
W000069,17.61,0,34.0,2,3405.15,4426.7,0
W000070,2.52,0,61.0,1,5404.58,6215.27,0
W000071,11.49,0,31.4,6,7115.79,13520.01,0
W000072,0.0,0,7.6,3,3768.03,5463.65,0
W000073,58.97,1,62.5,4,4502.81,7204.5,0
W000074,44.19,1,91.1,2,3997.26,5196.43,0
W000075,50.8,1,21.8,2,16334.69,21235.09,1
W000076,48.02,1,50.9,1,13210.11,15191.63,0
W000077,47.91,1,39.4,6,10001.37,19002.6,0
W000078,16.63,0,75.9,3,56644.14,82134.0,0
W000079,54.22,1,71.8,2,18887.74,24554.07,0
W000080,22.3,0,45.3,3,20461.2,29668.74,0
W000081,12.38,0,33.3,3,3785.68,5489.24,1
W000082,27.02,0,136.8,2,2973.83,3865.98,0
W000083,50.38,1,31.5,1,9529.02,10958.38,0
W000084,19.1,0,88.5,2,3297.79,4287.12,0
W000085,15.58,0,29.7,3,3966.65,5751.65,1
W000086,28.47,0,25.9,3,16699.06,24213.64,0
W000087,55.7,1,78.4,3,5622.34,8152.39,0
W000088,11.88,0,31.6,1,1634.21,1879.34,0
W000089,43.81,1,33.9,2,54351.14,70656.48,0
W000090,27.58,0,15.7,3,13505.23,19582.58,0
W000091,5.18,0,97.4,3,27223.79,39474.5,0
W000092,45.79,1,62.2,4,14067.47,22507.96,0
W000093,11.76,0,81.1,1,1940.53,2231.61,0
W000094,45.33,1,68.2,4,7794.72,12471.56,0
W000095,33.9,1,70.7,3,21945.49,31820.96,0
W000096,82.88,1,104.3,1,2288.51,2631.79,0
W000097,30.87,1,156.6,1,18511.64,21288.38,0
W000098,0.0,0,50.0,4,1866.51,2986.41,0
W000099,57.56,1,73.4,2,6182.3,8036.99,0
W000100,34.46,1,123.6,2,24201.89,31462.45,0
W000101,67.25,1,125.9,1,14663.45,16862.97,1
W000102,32.49,1,34.1,3,3609.73,5234.11,0
W000103,48.86,1,208.5,2,16098.4,20927.93,0
W000104,47.19,1,57.9,4,14732.7,23572.32,0
W000105,9.48,0,40.5,1,2493.83,2867.9,0
W000106,22.11,0,79.1,2,3544.11,4607.34,0
W000107,12.05,0,37.5,1,14103.44,16218.95,0
W000108,40.8,1,21.6,2,5672.03,7373.64,0
W000109,39.23,1,75.2,4,4281.91,6851.06,0
W000110,29.11,0,99.8,1,4900.98,5636.13,0
W000111,26.46,0,94.9,4,2139.35,3422.96,0
W000112,35.71,1,10.8,1,1007.21,1158.29,1
W000113,35.25,1,48.9,1,26611.15,30602.82,0
W000114,21.32,0,145.8,6,10825.99,20569.38,0
W000115,12.58,0,46.5,1,23056.6,26515.09,0
W000116,58.92,1,125.9,1,19829.58,22804.01,0
W000117,34.05,1,35.7,3,11037.46,16004.32,0
W000118,29.31,0,17.1,2,2566.23,3336.09,0
W000119,12.1,0,161.2,2,8359.89,10867.86,0
W000120,23.08,0,102.0,2,15136.83,19677.88,0
W000121,46.91,1,12.3,4,76297.38,122075.82,0
W000122,49.5,1,21.7,1,5211.53,5993.26,0
W000123,40.17,1,56.3,3,3595.94,5214.11,0
W000124,13.22,0,64.2,3,9748.4,14135.18,0
W000125,66.97,1,42.2,3,5246.15,7606.91,0
W000126,0.0,0,55.8,3,15302.83,22189.1,0
W000127,20.09,0,46.5,2,4182.29,5436.98,0
W000128,19.8,0,12.2,2,1612.45,2096.18,0
W000129,21.34,0,131.7,4,2916.94,4667.11,1
W000130,7.17,0,110.4,3,19024.72,27585.84,0
W000131,27.11,0,73.3,2,7939.08,10320.81,0
W000132,39.83,1,14.0,4,6545.31,10472.5,0
W000133,22.72,0,37.4,5,4273.88,7479.29,1
W000134,0.0,0,23.8,1,11116.47,12783.94,0
W000135,0.64,0,83.9,2,4445.18,5778.74,0
W000136,22.51,0,31.5,1,4281.72,4923.98,0
W000137,0.0,0,18.0,2,1791.18,2328.54,0
W000138,35.24,1,57.1,1,23138.18,26608.9,0
W000139,58.71,1,82.1,2,31518.61,40974.2,0
W000140,22.62,0,36.8,1,9318.67,10716.47,0
W000141,3.6,0,67.1,3,4705.48,6822.94,0
W000142,3.78,0,75.7,4,1683.38,2693.4,0
W000143,20.91,0,15.6,2,15932.12,20711.76,0
W000144,18.48,0,31.3,5,4448.55,7784.95,0
W000145,37.01,1,50.1,2,6748.13,8772.57,0
W000146,5.45,0,69.1,3,52334.52,75885.05,0
W000147,11.44,0,1.8,2,10551.23,13716.6,0
W000148,35.84,1,39.4,2,1005.87,1307.63,0
W000149,50.07,1,39.4,4,3953.9,6326.24,0
W000150,44.82,1,45.6,4,2568.81,4110.09,0
W000151,31.77,1,35.3,1,17345.06,19946.82,0
W000152,26.86,0,23.8,3,9092.72,13184.45,1
W000153,40.73,1,51.1,3,8562.98,12416.32,0
W000154,18.02,0,42.2,1,21465.88,24685.76,0
W000155,31.02,1,82.3,1,1155.34,1328.64,0
W000156,0.0,0,102.3,3,6134.03,8894.34,0
W000157,35.66,1,81.2,3,11679.89,16935.84,0
W000158,33.08,1,82.8,6,7787.39,14796.03,0
W000159,61.42,1,48.6,1,2363.9,2718.49,0
W000160,54.31,1,73.1,5,6040.54,10570.94,0
W000161,46.14,1,41.0,3,8103.25,11749.71,0
W000162,30.29,1,36.8,3,1868.64,2709.53,0
W000163,6.61,0,74.2,2,20715.35,26929.95,1
W000164,44.54,1,36.4,2,19853.08,25809.0,0
W000165,35.42,1,65.3,1,11932.76,13722.67,0
W000166,9.9,0,105.8,3,5075.2,7359.05,1
W000167,30.34,1,99.9,3,7155.1,10374.89,0
W000168,40.92,1,157.2,3,9503.11,13779.51,0
W000169,63.58,1,35.0,4,14440.63,23105.01,0
W000170,40.63,1,35.2,4,4114.87,6583.78,0
W000171,8.61,0,39.5,2,12839.59,16691.47,0
W000172,65.9,1,70.3,3,23003.94,33355.72,0
