account_id,region_id,value_score,value_group,churn_mode,proba_none,proba_large_withdrawal,proba_dd_stop,proba_dormant,predicted_mode
A031989,R05,5913.07,high,none,0.91374445,0.046602283,0.02416704,0.0154862255,none
A025054,R07,23457.89,high,none,0.93443334,0.040707257,0.00588245,0.01897692,none
A021320,R01,2289.63,low,none,0.89525604,0.008255929,0.0506473,0.045840796,none
A026009,R03,10311.66,high,none,0.90963906,0.05482466,0.014111786,0.02142443,none
A013414,R09,15396.19,high,none,0.8923748,0.019697642,0.06853291,0.019394597,none
A005439,R03,1654.11,low,none,0.9449629,0.0075229807,0.018382622,0.029131414,none
A017720,R05,1799.17,low,none,0.942134,0.029902881,0.004735125,0.023227923,none
A019893,R05,1660.7,low,none,0.88350326,0.03260956,0.0073198266,0.07656733,none
A003528,R00,13060.88,high,none,0.9246723,0.019177707,0.024901664,0.031248247,none
A013254,R08,11954.35,high,none,0.96804273,0.0051496564,0.0052308217,0.021576775,none
A004829,R00,898.93,low,none,0.8691932,0.022526607,0.025690783,0.08258936,none
A019220,R08,2401.93,low,none,0.93719435,0.035395492,0.0046877502,0.022722423,none
A016157,R09,8867.56,high,none,0.9463663,0.030116372,0.0060752584,0.017442025,none
A005262,R02,31948.79,high,none,0.925211,0.035595987,0.014720855,0.024472162,none
A027033,R06,1529.58,low,none,0.94231725,0.040610522,0.002379674,0.014692524,none
A005508,R02,33943.79,high,dormant,0.9679322,0.009181803,0.003154065,0.019731866,none
A034032,R04,4671.75,low,none,0.82941943,0.036774617,0.035030138,0.0987758,none
A014903,R03,49558.2,high,none,0.95343095,0.01552778,0.007531226,0.02351001,none
A004650,R05,1720.6,low,none,0.89536744,0.025816599,0.05641768,0.02239829,none
A011015,R06,8045.1,high,none,0.6465203,0.014718346,0.01190814,0.32685325,none
A001871,R07,26723.78,high,none,0.96732205,0.006122675,0.0052274256,0.021327855,none
A012008,R02,3021.76,low,large_withdrawal,0.89652455,0.032194164,0.032017075,0.03926421,none
A021079,R03,2358.91,low,none,0.9575758,0.016958939,0.004960102,0.020505175,none
A001524,R05,1553.85,low,none,0.91462237,0.04682042,0.013654911,0.02490227,none
A036738,R06,1671.17,low,none,0.9636562,0.008701646,0.006331889,0.021310283,none
A005400,R09,6700.49,high,none,0.9444676,0.018481331,0.012778529,0.024272604,none
A023970,R02,3769.99,low,none,0.8989757,0.044667687,0.02723647,0.029120171,none
A006372,R09,1173.46,low,none,0.8601372,0.0033635579,0.043244354,0.0932548,none
A016397,R08,1398.69,low,none,0.95444995,0.007864925,0.0050278828,0.032657262,none
A032550,R01,1818.81,low,none,0.9102684,0.010152851,0.046777632,0.032801025,none
A001505,R08,7463.09,high,none,0.6702832,0.013883762,0.038922586,0.27691045,none
A009089,R04,4337.76,low,none,0.8666241,0.053147152,0.05330405,0.026924677,none
A014724,R06,39337.53,high,none,0.94856423,0.009950689,0.006687572,0.034797482,none
A000019,R07,12135.46,high,none,0.81615114,0.09159429,0.0129137,0.079340845,none
A034203,R09,3513.0,low,dd_stop,0.89183587,0.0071674963,0.07572107,0.025275579,none
A007758,R01,4293.49,low,none,0.8254674,0.068876736,0.064024866,0.041631013,none
A001032,R00,9901.07,high,none,0.8848453,0.016715696,0.010274207,0.08816472,none
A031523,R06,2610.53,low,none,0.94241244,0.015826585,0.011690175,0.030070817,none
A033014,R04,1218.09,low,large_withdrawal,0.86375564,0.008993551,0.09067186,0.036578927,none
A016638,R05,3198.46,low,none,0.9323852,0.011451402,0.025722824,0.030440543,none
A032273,R07,1928.46,low,none,0.7972188,0.1088184,0.06196509,0.031997733,none
A025801,R03,2899.53,low,none,0.94437146,0.016875893,0.016178237,0.022574462,none
A012006,R01,5539.32,high,none,0.9541789,0.0051394138,0.007735936,0.032945674,none
A038810,R00,2295.45,low,none,0.82135886,0.09446863,0.054996625,0.02917592,none
A035630,R01,10454.05,high,none,0.77617097,0.12167932,0.025521033,0.07662867,none
A032047,R04,6155.27,high,none,0.93363607,0.024906589,0.012557156,0.028900217,none
A018961,R09,10559.25,high,dd_stop,0.8460255,0.07261072,0.05787302,0.023490753,none
A038501,R01,859.8,low,none,0.9101766,0.012204664,0.0028838392,0.074734904,none
A034286,R05,23977.53,high,none,0.8971599,0.0027198005,0.06916099,0.030959357,none
A013794,R04,3130.25,low,none,0.8764411,0.02145903,0.066728294,0.0353716,none
A013931,R07,57819.19,high,none,0.9435995,0.029681835,0.0072853365,0.01943328,none
A000178,R08,2469.48,low,none,0.89414793,0.011224441,0.048151426,0.04647621,none
A035939,R06,2564.58,low,none,0.8997668,0.04753245,0.019539881,0.033160865,none
A033561,R00,871.63,low,large_withdrawal,0.892915,0.06456515,0.008042495,0.034477293,none
A031560,R07,183217.07,high,none,0.92081815,0.0007776582,0.048734598,0.029669605,none
A024517,R01,12274.53,high,none,0.9258331,0.04516775,0.006381145,0.022617951,none
A002113,R09,2707.84,low,none,0.933058,0.013472314,0.024319837,0.029149821,none
A016959,R03,9557.42,high,none,0.8661118,0.0112962965,0.09383167,0.02876021,none
A010691,R05,2983.53,low,none,0.8715854,0.1124929,0.003555185,0.012366538,none
A009635,R08,1710.29,low,dormant,0.9044278,0.015428678,0.01121747,0.06892597,none
A017175,R06,2666.8,low,none,0.8833288,0.008754802,0.025853282,0.082063146,none
A032920,R00,4099.5,low,large_withdrawal,0.9032483,0.044612043,0.016940694,0.03519895,none
A036714,R08,1943.53,low,none,0.9365814,0.024738837,0.019059705,0.019620113,none
A014419,R08,3744.14,low,none,0.83967584,0.035451386,0.014494883,0.11037788,none
A029633,R08,1072.83,low,none,0.9330894,0.03318581,0.01132523,0.022399586,none
A003144,R09,17390.51,high,large_withdrawal,0.77742386,0.06973185,0.047919214,0.104925096,none
A009990,R08,7407.66,high,none,0.848825,0.0058715525,0.02466809,0.12063534,none
A002942,R03,13496.97,high,none,0.9004429,0.014104316,0.0065974505,0.078855336,none
A020150,R02,4605.87,low,dd_stop,0.89201075,0.010817649,0.0029565066,0.09421518,none
A036198,R03,9660.7,high,none,0.9407121,0.01719604,0.015873894,0.026218012,none
A028781,R02,22679.24,high,none,0.93390435,0.006277852,0.010924358,0.04889348,none
A030222,R01,1535.39,low,none,0.8506579,0.012181515,0.031871676,0.10528887,none
A019339,R00,256.36,low,none,0.8676957,0.017672855,0.015994135,0.09863731,none
A002327,R07,1955.28,low,none,0.9498496,0.016990809,0.014657599,0.018502014,none
A011664,R03,31892.99,high,none,0.9311298,0.011401485,0.026095832,0.031372853,none
A033144,R01,20316.91,high,none,0.86657524,0.020940904,0.06851757,0.043966223,none
A009942,R09,2287.8,low,none,0.93109083,0.001998984,0.046663955,0.020246182,none
A033862,R07,12651.41,high,none,0.9623517,0.013922042,0.005873583,0.017852696,none
